Homann	Mitchell	Noble	GRACE
	orf19.7510	orf19.6038	orf19.4040
	orf19.2678	orf19.6053	orf19.3038
	orf19.6913	orf19.6124	orf19.7016
	orf19.6913	orf19.6182	orf19.2871
	orf19.5068	orf19.6202	orf19.5702
	orf19.5068	orf19.6219	orf19.1576
	orf19.3854	orf19.6232	orf19.6324
	orf19.3854	orf19.6245	orf19.2337
	orf19.5357	orf19.6293	orf19.5243
	orf19.4347	orf19.6313	orf19.2107
	orf19.4347	orf19.6318	orf19.5628
	orf19.7510	orf19.6324	orf19.1720
	orf19.7510	orf19.6348	orf19.2844
	orf19.5224	orf19.6358	orf19.4518
	orf19.5224	orf19.6365	orf19.3330
	orf19.3751	orf19.6376	orf19.3325
	orf19.3049	orf19.6411	orf19.3467
	orf19.7044	orf19.6420	orf19.4441
	orf19.7044	orf19.6449	orf19.2133
	orf19.5253	orf19.6481	orf19.3854
	orf19.5253	orf19.6502	orf19.6730
	orf19.2277	orf19.6506	orf19.4526
	orf19.2277	orf19.6514	orf19.5994
	orf19.7451	orf19.6526	orf19.5671
	orf19.7451	orf19.6530	orf19.908
	orf19.3530	orf19.6553	orf19.7463
	orf19.3530	orf19.6578	orf19.1966
	orf19.4297	orf19.6592	orf19.3407
	orf19.4297	orf19.6606	orf19.2443
	orf19.4518	orf19.6653	orf19.459
	orf19.4518	orf19.6654	orf19.7330
	orf19.2268	orf19.6660	orf19.1671
	orf19.2102	orf19.6678	orf19.6578
	orf19.3256	orf19.6680	orf19.6740
	orf19.3256	orf19.6681	orf19.308
	orf19.844	orf19.6693	orf19.1988
	orf19.844	orf19.6720	orf19.2965
	orf19.3841	orf19.6736	orf19.4160
	orf19.3841	orf19.6738	orf19.4001
	orf19.3049	orf19.6741	orf19.5038
	orf19.3049	orf19.6772	orf19.6498
	orf19.2436	orf19.6784	orf19.1804
	orf19.846	orf19.6802	orf19.3606
	orf19.846	orf19.6817	orf19.2341
	orf19.7355	orf19.6838	orf19.7188
	orf19.3720	orf19.6842	orf19.1683
	orf19.3720	orf19.6874	orf19.5061
	orf19.2910	orf19.6927	orf19.955
	orf19.2910	orf19.6928	orf19.6901
	orf19.4002	orf19.6948	orf19.6994
	orf19.428	orf19.6951	orf19.7520
	orf19.428	orf19.6980	orf19.3006
	orf19.1341	orf19.6985	orf19.2166
	orf19.3415	orf19.6990	orf19.3711
	orf19.3415	orf19.6996	orf19.968
	orf19.3415	orf19.7017	orf19.118
	orf19.6243	orf19.7020	orf19.4000
	orf19.7523	orf19.7023	orf19.6502
	orf19.7523	orf19.7033	orf19.3911
	orf19.6889	orf19.7049	orf19.1970
