YSD	Medium	length	diameter	septum	MI
1410	maltose	53.852	40.277	17.308	0.574558817
1410	maltose	35.434	32	6.667	0.230701639
1410	maltose	40.667	34	8.028	0.28241754
1410	maltose	46.994	39.446	12.238	0.36961273
1410	maltose	39.215	31.868	7.211	0.27844415
1410	maltose	48.157	38.006	6.799	0.22667318
1410	maltose	38.759	29.53	5.963	0.265039424
1410	maltose	41.058	30.185	6.289	0.283398159
1410	maltose	41.767	32.585	6.7	0.263555834
1410	maltose	39.265	29.364	8.692	0.395817406
1410	maltose	54.975	40.732	19.09	0.632557044
1410	maltose	34.577	22.706	5.735	0.384626732
1410	maltose	39.067	34.928	9.068	0.290384972
1410	maltose	39.693	25.157	5.963	0.373990899
1410	maltose	41.979	32.201	7.18	0.290681783
1410	maltose	43.107	32.007	7.601	0.319836918
1410	maltose	43.579	35.69	9.843	0.336753137
1410	maltose	24.24	21.838	8.537	0.433922504
1410	maltose	32.007	23.371	4	0.234396094
1410	maltose	39.215	24.891	6	0.379768361
1410	maltose	30.883	33.153	8.667	0.243524472
1410	maltose	34.647	21.52	6.667	0.498782901
1410	maltose	24.037	35.559	12.019	0.2284807
1410	maltose	24.667	22.41	7.803	0.383260646
1410	maltose	51.312	40.617	11.175	0.347576806
1410	maltose	40.863	29.522	7.211	0.338091453
1410	maltose	43.461	33.119	9.475	0.375426136
1410	maltose	51.225	38.534	13.872	0.478556105
1410	maltose	55.092	41.161	13.132	0.427019373
1410	maltose	45.607	37.172	8.028	0.264976288
1410	maltose	45.966	38.181	15.041	0.474262544
1410	maltose	45.966	33.797	7.333	0.295095165
1410	maltose	43.594	33.711	8	0.306883427
1410	maltose	43.025	26.55	9.615	0.586868929
1410	maltose	58.138	39.961	7.18	0.261403764
1410	maltose	37.363	32.83	8.667	0.300447622
1410	maltose	39.961	30	6.799	0.301883154
1410	maltose	49.782	35.808	8.485	0.329430691
1410	maltose	37.765	29.219	7.18	0.317602006
1410	maltose	41.58	36.326	7.211	0.227219094
1410	maltose	46.174	33.797	7.803	0.315429859
1410	maltose	49.216	38.181	10.435	0.352293126
1410	maltose	49.549	39.061	15.232	0.494658083
1410	maltose	40.056	34	6.325	0.219164533
1410	maltose	42.085	30	7.333	0.342899228
1410	maltose	52.772	38.787	9.545	0.334816696
1410	maltose	40.705	36.818	9.843	0.295566261
